Unnamed: 0,dataset,model,mean_metric,split,max_time,fit_time,inference_time,best,num_trials
0,balance-scale,baam_0.0_pair_effect_fast,0.9929092526435852,1,1,3.963865041732788,0.0009784698486328,,
1,balance-scale,baam_0.0_pair_effect_fast,0.9802448153495787,2,1,3.871450662612915,0.0007374286651611,,
2,balance-scale,baam_0.0_pair_effect_fast,0.984186589717865,3,1,3.9308829307556152,0.0007698535919189,,
3,balance-scale,baam_0.0_pair_effect_fast,0.9805978536605836,4,1,3.8162026405334473,0.0008735656738281,,
4,balance-scale,baam_0.0_pair_effect_fast,0.9825734496116638,5,1,3.6964633464813232,0.0009381771087646,,
5,mfeat-fourier,baam_0.0_pair_effect_fast,0.9774467945098876,1,1,184.33387565612793,0.011181354522705,,
6,mfeat-fourier,baam_0.0_pair_effect_fast,0.9808407425880432,2,1,186.08684134483337,0.0111405849456787,,
7,mfeat-fourier,baam_0.0_pair_effect_fast,0.9797791838645936,3,1,183.93870735168457,0.0115470886230468,,
8,mfeat-fourier,baam_0.0_pair_effect_fast,0.9827936887741088,4,1,184.76200342178345,0.0111005306243896,,
9,mfeat-fourier,baam_0.0_pair_effect_fast,0.9771040678024292,5,1,183.88846731185913,0.011326789855957,,
10,breast-w,baam_0.0_pair_effect_fast,0.9908644556999208,1,1,6.359262943267822,0.0010347366333007,,
11,breast-w,baam_0.0_pair_effect_fast,0.9899576902389526,2,1,6.436689376831055,0.0012814998626708,,
12,breast-w,baam_0.0_pair_effect_fast,0.9953953623771667,3,1,6.229852914810181,0.0011911392211914,,
13,breast-w,baam_0.0_pair_effect_fast,0.9904301166534424,4,1,6.481624126434326,0.0010538101196289,,
14,breast-w,baam_0.0_pair_effect_fast,0.993250012397766,5,1,6.319770097732544,0.0011754035949707,,
15,mfeat-karhunen,baam_0.0_pair_effect_fast,0.9976650476455688,1,1,155.91664099693298,0.0100684165954589,,
16,mfeat-karhunen,baam_0.0_pair_effect_fast,0.9960716962814332,2,1,158.6464068889618,0.0100297927856445,,
17,mfeat-karhunen,baam_0.0_pair_effect_fast,0.9951876997947692,3,1,156.4888744354248,0.015216588973999,,
18,mfeat-karhunen,baam_0.0_pair_effect_fast,0.9974623322486876,4,1,158.78560781478882,0.0099203586578369,,
19,mfeat-karhunen,baam_0.0_pair_effect_fast,0.9973713159561156,5,1,157.41700625419617,0.0098471641540527,,
20,mfeat-morphological,baam_0.0_pair_effect_fast,0.9617626667022704,1,1,14.005290031433104,0.0014986991882324,,
